0.85
264	187	305	210	and
311	187	335	209	be
222	273	262	295	you
226	300	261	318	are
266	294	302	323	the
270	322	325	348	have
384	321	424	349	his
289	350	309	373	it
316	1039	359	1062	and
311	1068	373	1095	great
320	1128	362	1149	you
767	381	803	410	the
628	460	686	487	them
787	521	829	544	you
724	1182	754	1209	by
764	1181	827	1210	them
889	1628	907	1651	it
735	1546	790	1569	your
695	1625	750	1649	have
676	1761	736	1791	right
252	1785	306	1813	with
221	381	278	403	good
856	689	895	707	one
877	717	918	735	not
